file,group,param,preprocess,keypoints1,keypoints2,good_matches,inliers,inlier_ratio,reproj_err,status,reason,time_s
image2_original,original,0,None,3225,3133,686,681,0.993,0.97,OK,成功拼接,0.1
image2_original,original,0,CLAHE,5251,5207,889,869,0.978,0.99,OK,成功拼接,0.16
image2_original,original,0,Norm+CLAHE,5158,5310,893,879,0.984,0.99,OK,成功拼接,0.16
image2_original,original,0,Blur+CLAHE,2921,2869,732,720,0.984,0.9,OK,成功拼接,0.12
bright_-100,bright,-100,None,3225,2905,633,627,0.991,0.95,OK,成功拼接,0.09
bright_-100,bright,-100,CLAHE,5251,5511,819,796,0.972,0.93,OK,成功拼接,0.11
bright_-100,bright,-100,Norm+CLAHE,5158,5719,824,804,0.976,0.93,OK,成功拼接,0.12
bright_-100,bright,-100,Blur+CLAHE,2921,3076,676,666,0.985,0.89,OK,成功拼接,0.09
bright_-60,bright,-60,None,3225,3112,681,676,0.993,0.98,OK,成功拼接,0.09
bright_-60,bright,-60,CLAHE,5251,5159,886,865,0.976,0.97,OK,成功拼接,0.11
bright_-60,bright,-60,Norm+CLAHE,5158,5321,901,880,0.977,1.0,OK,成功拼接,0.11
bright_-60,bright,-60,Blur+CLAHE,2921,2868,713,702,0.985,0.9,OK,成功拼接,0.09
bright_+60,bright,60,None,3225,2781,577,569,0.986,0.99,OK,成功拼接,0.09
bright_+60,bright,60,CLAHE,5251,4902,793,779,0.982,1.02,OK,成功拼接,0.11
bright_+60,bright,60,Norm+CLAHE,5158,5028,799,776,0.971,1.02,OK,成功拼接,0.11
bright_+60,bright,60,Blur+CLAHE,2921,2738,687,679,0.988,0.94,OK,成功拼接,0.09
bright_+100,bright,100,None,3225,1577,151,125,0.828,0.98,OK,成功拼接,0.08
bright_+100,bright,100,CLAHE,5251,3424,209,192,0.919,0.98,OK,成功拼接,0.09
bright_+100,bright,100,Norm+CLAHE,5158,3678,188,164,0.872,1.02,OK,成功拼接,0.1
bright_+100,bright,100,Blur+CLAHE,2921,1999,211,196,0.929,0.97,OK,成功拼接,0.08
contrast_0.5,contrast,0.5,None,3225,573,167,154,0.922,0.92,OK,成功拼接,0.08
